"N0","Nt","pH","PetalCount","Age"
15.1785924407011,2.74021057546478,5.8884928171048,5,"Good"
14.9278183835401,3.81792610249498,5.98857816278429,4,"Bad"
15.0985738183495,2.479577644998,5.9105378627834,5,"Good"
15.1170854926212,2.61648805696617,5.93459110949484,4,"Good"
15.2857708897707,3.41632450388831,6.11787162815378,4,"Bad"
15.1761489870874,4.44499124039295,6.09515165107298,5,"Bad"
15.1296754153283,2.43209801569614,6.01079103472867,5,"Good"
14.954780356455,4.41306312902564,6.15857873897613,4,"Bad"
15.3147999992254,2.05566674345051,6.08261007023866,5,"Good"
15.200206702198,4.67017704967219,5.90945732039763,4,"Bad"
15.2060933593699,1.69757549251923,5.96186040127121,5,"Good"
15.0894961716493,3.34177954079158,5.87830190737432,5,"Bad"
15.2200684243241,1.6436018725255,6.0518868252435,5,"Good"
15.0769422315302,5.37641951836797,6.05416690792114,5,"Bad"
15.1873472598648,3.49518480198941,6.01300973141049,4,"Bad"
15.0687173872223,3.64452751979666,5.97505789729577,4,"Bad"
15.3107664955208,5.01819905589899,6.09598762685232,4,"Bad"
15.0992262455608,3.83571137614199,5.87284041470807,4,"Bad"
15.3575799838943,3.18774061289078,5.94357518297685,5,"Good"
15.2290993020198,4.0109719535917,6.02831533025821,5,"Bad"
15.2739529907825,3.35006923071298,5.94595585585411,4,"Bad"
15.0744425512312,4.01713026015283,6.0761532246986,5,"Bad"
15.3411951131036,3.60835391294468,6.01185467752025,5,"Bad"
15.2733487047056,3.34261150713566,6.00905947571654,5,"Bad"
15.3281721451335,3.09636098164043,6.13060463846442,5,"Good"
15.2898800480393,3.90193263692871,6.03520198943707,5,"Bad"
15.2531112359051,4.24073413925934,5.92031097250037,5,"Bad"
15.2784582776561,3.24912982976762,5.81679069762888,4,"Bad"
15.0814786402511,4.954302674533,6.11025268392692,5,"Bad"
15.2345996718948,3.25221281811076,5.8544290228643,4,"Bad"
15.0827123785012,1.13369248906566,5.97966547115706,5,"Good"
15.1662950581478,2.82937855045571,6.07800695217892,4,"Good"
15.0975809429441,4.89308269356899,5.90040565334519,5,"Bad"
15.3324800707325,4.35030963071281,6.12736253173904,5,"Bad"
15.203747158691,3.09538618595229,6.02144613064273,4,"Good"
15.1922657257405,2.68431150748002,5.92916067110536,4,"Good"
15.1559477819438,4.72367539233351,6.20628334026151,5,"Bad"
15.2214252775251,2.87412250127112,5.91857934862177,4,"Good"
15.1988189061701,4.45083755089769,5.99735540491614,5,"Bad"
15.154690833551,3.85132368527441,6.08591945429729,4,"Bad"
14.9898147648756,3.29210407609221,5.95377669767542,5,"Bad"
15.1717380698673,3.13616787184284,5.80380970436877,4,"Good"
15.0429025699672,2.36395508175673,5.84810102606732,5,"Good"
15.2296358609505,4.92874451432447,5.91396193153001,5,"Bad"
15.2247361274148,2.23291697821887,5.9517934170859,5,"Good"
15.1863021609407,3.76635890632894,6.07727019031261,5,"Bad"
15.1285659236732,2.74937890123243,5.88107727690398,4,"Good"
15.3065413932862,2.10211885885338,6.03721238404596,5,"Good"
14.9979680729138,1.94539180986506,5.90559791952957,4,"Good"
15.2506020229225,5.35667892207815,5.93948593056594,5,"Bad"
15.1387795543892,3.54020110692364,6.13137311079595,5,"Bad"
15.2026263657726,3.73702271802427,6.17349773627147,5,"Bad"
15.1746896872915,4.158403208413,6.0428437691454,4,"Bad"
15.1021219938978,4.62177980813989,5.89511641633078,5,"Bad"
15.3581678929162,3.03373895286116,6.15002910704282,5,"Good"
15.1730958160952,3.98824301800379,6.01235755729281,4,"Bad"
15.1494482006392,2.57374333236941,5.96398888533381,4,"Good"
15.4077262152247,5.20945359610155,5.8897369671846,4,"Bad"
15.2669925554409,4.68125353853947,5.89139877872687,4,"Bad"
15.2204084523008,3.36474888002112,5.90197057919122,5,"Bad"
15.1962846855989,3.94235339410418,5.9114889331594,5,"Bad"
15.2116006986854,2.43553199189737,6.19720096499896,5,"Good"
15.1743988228254,4.6614512586786,6.17217515856919,5,"Bad"
15.1325403760207,1.84590361161427,5.90391131100544,4,"Good"
15.2942027079069,1.98214452457843,6.11570387816211,5,"Good"
15.2493036422512,4.63851940267339,5.94055505874061,4,"Bad"
15.2443817053497,5.8890046998286,6.06757489880558,5,"Bad"
15.193004659159,4.59010727981053,5.93972047432613,5,"Bad"
15.3301914195473,4.30192418258703,5.83340478846567,5,"Bad"
15.0640673287991,2.92829473396486,6.12496816335258,4,"Good"
15.3554371666963,4.35223751238935,5.84688619718813,5,"Bad"
15.3448502389289,3.92033481906844,6.03565901419437,5,"Bad"
15.2928271107985,3.26455210829675,5.93412220292208,4,"Bad"
15.0692745972033,3.13029093174031,6.23136958506017,4,"Good"
15.227660070322,4.39479764733255,5.99850298656351,4,"Bad"
15.1200824931494,2.06540896293925,5.92251844911957,5,"Good"
15.1623082939624,4.26484166247858,5.92818386929015,5,"Bad"
15.1394385081611,3.25114100089972,6.00887222977156,5,"Bad"
14.9572829510529,4.00779243145309,5.95294315756328,4,"Bad"
15.1486966461393,4.54188539918939,5.82696849273175,5,"Bad"
15.0928112653511,2.64933131781123,5.83888300687367,5,"Good"
15.2137366095518,3.83372518922889,6.02410833972731,4,"Bad"
15.1105002721284,2.8751724250156,6.01532549539077,5,"Good"
15.1921434178279,4.04614518659475,5.94068216884423,5,"Bad"
15.3595836283946,3.2170413878429,5.94055770650205,5,"Good"
15.0795973613289,2.87447737126511,6.04176018398603,4,"Good"
15.0337728835633,2.31420586100585,5.95284918116646,5,"Good"
15.2069347145495,2.86860296489619,5.97080637935396,4,"Good"
15.1051812244124,3.18947810722962,5.95893864755616,4,"Bad"
15.104880859577,4.6333550933214,5.97557297606773,4,"Bad"
15.2868059858287,2.44558935701251,6.01448372702457,4,"Good"
15.2158546719605,3.6961936225036,5.91640944846017,4,"Bad"
15.3296077284167,2.33203802421035,6.09914054279887,4,"Good"
15.0915582845202,3.08844995170415,5.95483700765037,4,"Good"
15.2392774897438,3.39947351107364,6.01438131013897,5,"Bad"
15.1973965089983,1.55453157272247,6.00460645562102,5,"Good"
15.0743958866235,3.98599150550297,5.92383952150941,5,"Bad"
15.1064313719877,3.04707038906751,5.956135892843,5,"Good"
15.1803314170206,1.63698827323987,6.07350655824547,5,"Good"
15.2142268674739,2.13031505937198,6.06338167378831,5,"Good"
